Airline (IATA or ICAO),Airline ID,Source Airport,Source Airport ID,Destination Airport,Destination Airport ID,Codeshare,Stops,Equipment
2P,897,GES,2402,MNL,2397,Y,0,320
2P,897,MNL,2397,GES,2402,Y,0,320
4M,3201,DFW,3670,EZE,3988,Y,0,777
4M,3201,EZE,3988,DFW,3670,Y,0,777
4M,3201,EZE,3988,JFK,3797,Y,0,777
4M,3201,JFK,3797,EZE,3988,Y,0,777
5N,503,ARH,4362,CSH,6110,Y,0,AN4
5N,503,ARH,4362,MMK,2949,Y,0,AN4
5N,503,ARH,4362,USK,4369,Y,0,AN4
5N,503,CSH,6110,ARH,4362,Y,0,AN4
5N,503,MMK,2949,ARH,4362,Y,0,AN4
5N,503,MMK,2949,TOS,663,Y,0,AN4
5N,503,TOS,663,MMK,2949,Y,0,AN4
5N,503,USK,4369,ARH,4362,Y,0,AN4
5T,1623,YBK,29,YCS,5487,Y,0,ATR
5T,1623,YBK,29,YXN,5534,Y,0,ATR
5T,1623,YCS,5487,YBK,29,Y,0,AT4
5T,1623,YCS,5487,YRT,132,Y,0,ATR AT4
5T,1623,YEK,50,YXN,5534,Y,0,ATR AT4
5T,1623,YEK,50,YYQ,187,Y,0,ATR AT4
5T,1623,YRT,132,YBK,29,Y,0,AT4
5T,1623,YRT,132,YCS,5487,Y,0,ATR AT4
5T,1623,YRT,132,YUT,147,Y,0,AT4
5T,1623,YRT,132,YYQ,187,Y,0,ATR FRJ AT4
5T,1623,YRT,132,YZS,41,Y,0,ATR AT4
5T,1623,YTH,141,YYQ,187,Y,0,ATR
5T,1623,YWG,160,YRT,132,Y,0,FRJ ATR
5T,1623,YWG,160,YYQ,187,Y,0,FRJ
5T,1623,YXN,5534,YRT,132,Y,0,ATR AT4
5T,1623,YYQ,187,YEK,50,Y,0,ATR
5T,1623,YYQ,187,YRT,132,Y,0,ATR AT4 FRJ
5T,1623,YYQ,187,YTH,141,Y,0,AT4
5T,1623,YYQ,187,YWG,160,Y,0,ATR FRJ AT4
5T,1623,YZS,41,YRT,132,Y,0,ATR
5T,1623,YZS,41,YUT,147,Y,0,AT4
7F,2354,YFB,55,YLC,5509,Y,0,DHT
7F,2354,YLC,5509,YFB,55,Y,0,DHT
7H,16726,ABL,7177,OTZ,3693,Y,0,CNC
7H,16726,ABL,7177,SHG,7117,Y,0,CNC
7H,16726,AIN,7220,ATK,6714,Y,0,CNC
7H,16726,AIN,7220,BRW,3571,Y,0,BE1 CNC
7H,16726,AKI,7217,KKI,9742,Y,0,CNA
7H,16726,AKI,7217,TLT,7218,Y,0,CNA
7H,16726,ANI,5967,CHU,7091,Y,0,CNA
7H,16726,ANI,5967,HCR,5962,Y,0,CNC
7H,16726,ANI,5967,KLG,5964,Y,0,CNA CNC
7H,16726,ANI,5967,RSH,7098,Y,0,CNA
7H,16726,ANI,5967,SHX,7090,Y,0,CNC
7H,16726,ANV,6713,HCR,5962,Y,0,CNC
7H,16726,ANV,6713,KGX,7219,Y,0,CNC
7H,16726,ATK,6714,AIN,7220,Y,0,CNC
7H,16726,ATK,6714,BRW,3571,Y,0,CNC
7H,16726,ATT,4385,BET,3599,Y,0,CNA
7H,16726,AUK,7199,EMK,7087,Y,0,CNA
7H,16726,AUK,7199,SXP,7200,Y,0,CNA
7H,16726,BET,3599,CYF,6960,Y,0,CNA
7H,16726,BET,3599,EEK,7093,Y,0,CNA
7H,16726,BET,3599,HPB,6716,Y,0,CNA
7H,16726,BET,3599,KKH,7213,Y,0,CNA
7H,16726,BET,3599,KLG,5964,Y,0,CNA CNC
7H,16726,BET,3599,KUK,7094,Y,0,CNA
7H,16726,BET,3599,KWK,7096,Y,0,CNA
7H,16726,BET,3599,KWN,7206,Y,0,CNA
7H,16726,BET,3599,KWT,7095,Y,0,CNA
7H,16726,BET,3599,MLL,7097,Y,0,CNA
7H,16726,BET,3599,NME,8199,Y,0,CNA CNC
7H,16726,BET,3599,OOK,8200,Y,0,CNA CNC
7H,16726,BET,3599,PQS,7216,Y,0,CNA
7H,16726,BET,3599,TLT,7218,Y,0,CNA
7H,16726,BET,3599,VAK,5968,Y,0,CNA
7H,16726,BET,3599,WTL,7099,Y,0,CNA
7H,16726,BKC,7178,DRG,6755,Y,0,CNC
7H,16726,BKC,7178,OTZ,3693,Y,0,CNC
7H,16726,BRW,3571,AIN,7220,Y,0,BE1 CNC
7H,16726,BRW,3571,ATK,6714,Y,0,CNC
7H,16726,BRW,3571,NUI,7092,Y,0,BE1
7H,16726,BRW,3571,PIZ,3414,Y,0,CNC BE1
7H,16726,BTI,3411,FYU,3420,Y,0,BE1
7H,16726,BTI,3411,SCC,3620,Y,0,BE1
7H,16726,CHU,7091,CKD,7238,Y,0,CNA
7H,16726,CKD,7238,RDV,7239,Y,0,CNA
7H,16726,CKD,7238,SLQ,7240,Y,0,CNA
7H,16726,CYF,6960,BET,3599,Y,0,CNA
7H,16726,CYF,6960,KPN,7201,Y,0,CNA
7H,16726,DRG,6755,BKC,7178,Y,0,CNC
7H,16726,DRG,6755,OTZ,3693,Y,0,CNC
